상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간,dist
앵글340,,카페,커피 전문점,종로1.2.3.4가동,장사동,서울특별시 종로구 장사동 182-2,서울특별시 종로구 청계천로 155,126.994837769627,37.5688584940417,https://place.map.kakao.com/1749819159,"['매일', '12:00 ~ 21:00']",0.3144
루스카,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-28,서울특별시 종로구 수표로28길 35,126.990228802461,37.5731802026962,https://place.map.kakao.com/68035947,"['월~목', '11:00 ~ 22:30', '금~일', '10:00 ~ 22:30']",0.3148
낙원장,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 170,서울특별시 종로구 수표로28길 25,126.989937299531,37.5729704693561,https://place.map.kakao.com/1853756930,"['매일', '11:00 ~ 23:00']",0.3153
경성다방,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 211,서울특별시 종로구 수표로 115-1,126.989004628888,37.5716199338049,https://place.map.kakao.com/740154705,[],0.317
홍매,,카페,커피 전문점,종로1.2.3.4가동,권농동,서울특별시 종로구 권농동 187-18,서울특별시 종로구 율곡로10길 83,126.991680974621,37.5737873027599,https://place.map.kakao.com/22399766,[],0.3179
매머드익스프레스종로YBM점,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 55-1,서울특별시 종로구 종로 104,126.989095071749,37.5699537813745,https://place.map.kakao.com/1966930918,"['매일', '07:00 ~ 20:30', '매일 라스트오더', '~ 20:00']",0.3236
소소,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 48-1,서울특별시 종로구 종로 104,126.989095071749,37.5699537813745,https://place.map.kakao.com/1066887380,"['월~금', '07:00 ~ 16:00', '토', '08:30 ~ 11:30', '휴무일', '마지막 토요일', '일요일']",0.3236
종로식품사업부더쌍화,강남한의원,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 213-2,서울특별시 종로구 수표로 115-4,126.988881215528,37.5715377830822,https://place.map.kakao.com/2047438660,[],0.3259
앰퍼샌드컴퍼니,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-6,서울특별시 종로구 돈화문로11다길 27,126.990372912512,37.5734066956355,https://place.map.kakao.com/1982560276,[],0.327
아사녀다방,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 4-1,서울특별시 종로구 수표로 93-1,126.989224570524,37.569585463108,https://place.map.kakao.com/8412426,[],0.3305
라르티스타,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 128-1,서울특별시 종로구 돈화문로 60,126.991363181074,37.5738476607558,https://place.map.kakao.com/1337001435,[],0.3319
한옥랑솜익선동카페,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-40,서울특별시 종로구 수표로28길 21-6,126.989809623496,37.5732036475903,https://place.map.kakao.com/576866836,"['매일', '10:30 ~ 22:30']",0.3415
브라질카페꼬르꼬바두,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 130-1,서울특별시 종로구 수표로 86-1,126.989835293633,37.5687887633128,https://place.map.kakao.com/1730321918,[],0.3416
이에프앤비,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 130-1,서울특별시 종로구 수표로 86-1,126.989835293633,37.5687887633128,https://place.map.kakao.com/517588287,[],0.3416
몽블랑솜익선동카페,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-24,서울특별시 종로구 수표로28길 33-10,126.990178780739,37.5735311809113,https://place.map.kakao.com/798183382,"['매일', '11:30 ~ 22:30']",0.3483
에일당,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-34,서울특별시 종로구 수표로28길 33-9,126.990065952274,37.5735031844492,https://place.map.kakao.com/1167226072,"['매일', '12:00 ~ 23:00', '매일 라스트오더', '~ 22:30', '(음식 주문)', '매일 라스트오더', '~ 20:00', '(커피 주문)']",0.3518
